year	code	question	responses
2015		landline or cell phone	Landline Only, Landline and Cell Phone, Cell Phone Only, Refused
2015	BMI		Underweight, Normal weight, Overweight, Obese
2015	Q10	do you own your home rent or something else	I own my home, I rent my home, I live with family or friends who own, I live with family or friends who rent, Vol: I live in a Retirement Community/Senior Care, Other, Refused, Other (specify)
2015	Q12	when you think about your present residence would you say you are very satisfied somewhat satisfied somewhat unsatisfied or very unsatisfied with its affordability	Very satisfied, Somewhat satisfied, Somewhat unsatisfied, Very unsatisfied, Don't know, Refused
2015	Q14	10 years from now do you think that you will own a home rent an apartment or be living in some other setting	Own a home, Rent an apartment, Live with family or friends who own, Live with family or friends who rent, Nursing home or institution, Vol: Deceased, Other, Refused
2015	Q15	when do you think you will be in the market to purchase a home	Less than one year from now, At least one year but less than two years, At least two years but less than five years, At least five years but less than ten years, Ten years or more, Never in my lifetime, Don't know, Refused
2015	Q16A	many stores banks markets or places to go are within easy walking distance of my home	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16B	there are safe sidewalks and crosswalks on most of the streets in my neighborhood	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16C	there are places to bicycle in or near my neighborhood that are safe from traffic such as on the street or on special lanes separate paths or trails	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16D	my neighborhood has several free or low cost recreation facilities such as parks playgrounds public swimming pools etc	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16E	i do not feel safe to go on walks in my neighborhood at night	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16F	people in this neighborhood can be trusted	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16G	children and youth in my town generally have the positive role models they need around here	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q17	if the fire station closest to your home was going to be closed down by your city or town how likely is it that neighborhood residents would organize to try to do something to keep the fire station open	Very likely, Somewhat likely, Not very likely, Not at all likely, Don't know, Refused
2015	Q18	the next set of questions are about your health how would you rate your overall health would you say your health is excellent very good good fair or poor	Excellent, Very good, Good, Fair, Poor, Don't know, Refused
2015	Q19	overall how satisfied are you with your life nowadays	Not at all satisfied, Only a little bit satisfied, Somewhat satisfied, Mostly satisfied, Completely satisfied, Don't know, Refused
2015	Q2	as a place to live is the city or area where you live getting much better getting somewhat better remaining about the same getting somewhat worse or getting much worse	Much better, Somewhat better, About the same, Somewhat worse, Much worse, Don't know, Refused
2015	Q20	overall how happy did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q21	overall how anxious did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q22	overall to what extent do you have the time you need to do things that you really enjoy	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q23C1	a test of a one c measures the average level of blood sugar over the past three months about how many times in the past 12 months has a doctor nurse or other health professional checked you for a one c	None, Once, Twice, Three times, Four times, Five or more times, Never heard of it, Don't know, Refused, Vol: Never heard of it
2015	Q23E1	during the past 30 days how often have you used a prescription asthma inhaler during an asthma attack to stop it	Never (no attacks in the last 30 days), Once a week or less, Twice a week, 3 to 6 times a week, Once a day, More than once a day, Don't know, Refused
